"id" "long" "lat" "order" "hole" "piece" "group" "key_new" "V1" "V2" "key_orig" "LAD13CD" "LAD13CDO" "LAD13NM" "LAD13NMW" "CENTROIX" "CENTROIY" "row" "col"
"23" "3" -2.17618633 53.44541245 23 FALSE "1" "3.1" "-2.17618633310942_53.3691420402367" -2.17618633310942 53.3691420402367 "-2.12824812_53.39399774" "E08000007" "00BS" "Stockport" NA -2.12824812 53.39399774 7 2
"24" "3" -2.11013422 53.40727724 24 FALSE "1" "3.1" "-2.17618633310942_53.3691420402367" -2.17618633310942 53.3691420402367 "-2.12824812_53.39399774" "E08000007" "00BS" "Stockport" NA -2.12824812 53.39399774 7 2
"25" "3" -2.11013422 53.33100684 25 FALSE "1" "3.1" "-2.17618633310942_53.3691420402367" -2.17618633310942 53.3691420402367 "-2.12824812_53.39399774" "E08000007" "00BS" "Stockport" NA -2.12824812 53.39399774 7 2
"26" "3" -2.17618633 53.29287163 26 FALSE "1" "3.1" "-2.17618633310942_53.3691420402367" -2.17618633310942 53.3691420402367 "-2.12824812_53.39399774" "E08000007" "00BS" "Stockport" NA -2.12824812 53.39399774 7 2
"27" "3" -2.24223844 53.33100684 27 FALSE "1" "3.1" "-2.17618633310942_53.3691420402367" -2.17618633310942 53.3691420402367 "-2.12824812_53.39399774" "E08000007" "00BS" "Stockport" NA -2.12824812 53.39399774 7 2
"28" "3" -2.24223844 53.40727724 28 FALSE "1" "3.1" "-2.17618633310942_53.3691420402367" -2.17618633310942 53.3691420402367 "-2.12824812_53.39399774" "E08000007" "00BS" "Stockport" NA -2.12824812 53.39399774 7 2
"29" "4" -2.24223844 53.63608846 29 FALSE "1" "4.1" "-2.17618633310942_53.5979532566439" -2.17618633310942 53.5979532566439 "-2.15779054_53.61657038" "E08000005" "00BQ" "Rochdale" NA -2.15779054 53.61657038 5 9
"30" "4" -2.17618633 53.67422366 30 FALSE "1" "4.1" "-2.17618633310942_53.5979532566439" -2.17618633310942 53.5979532566439 "-2.15779054_53.61657038" "E08000005" "00BQ" "Rochdale" NA -2.15779054 53.61657038 5 9
"31" "4" -2.11013422 53.63608846 31 FALSE "1" "4.1" "-2.17618633310942_53.5979532566439" -2.17618633310942 53.5979532566439 "-2.15779054_53.61657038" "E08000005" "00BQ" "Rochdale" NA -2.15779054 53.61657038 5 9
"32" "4" -2.11013422 53.55981805 32 FALSE "1" "4.1" "-2.17618633310942_53.5979532566439" -2.17618633310942 53.5979532566439 "-2.15779054_53.61657038" "E08000005" "00BQ" "Rochdale" NA -2.15779054 53.61657038 5 9
